clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
t3_point_01,bug absent at clip start; inferred first point of match,1,1,5f28f3b3f3b1n@,,1,matched,0-0,0-0
t3_point_02,bug Djokovic-top; transcribed Ruud-first,2,1,4d,4b38b3f2f1f1f2f2s2u+3s2v2z1*,1,matched,0-0,15-0
t3_point_03,,4,1,4b29f3b2f3*,,1,matched,0-0,40-0
t3_point_04,,12|20,2,,,,ambiguous,,
t3_point_05,,14|16|18,2,,,,ambiguous,,
t3_point_06,dup score of 05,14|16|18,2,,,,ambiguous,,
t3_point_07,,11|13|15|17|19,2,,,,ambiguous,,
t3_point_08,dup score of 05,14|16|18,2,,,,ambiguous,,
t3_point_09,dup score of 04,12|20,2,,,,ambiguous,,
t3_point_10,,21,1,6n,6b28b3b3b3b3b3b3b3b2f2b3b2f1n@,1,matched,2-0,0-0
t3_point_11,,34,1,6n,4b38b2f2f+3m1o3m1w#,1,matched,3-1,15-0
t3_point_12,,36,1,4n,5f28f1f3f2f1f1f1f1f3s2f1r2f3b3b1d@,1,matched,3-1,30-15
t3_point_13,dup of 12,36,1,4n,5f28f1f3f2f1f1f1f1f3s2f1r2f3b3b1d@,1,matched,3-1,30-15
t3_point_14,dup of 12,36,1,4n,5f28f1f3f2f1f1f1f1f3s2f1r2f3b3b1d@,1,matched,3-1,30-15
t3_point_15,dup of 12,36,1,4n,5f28f1f3f2f1f1f1f1f3s2f1r2f3b3b1d@,1,matched,3-1,30-15
t3_point_16,,46,1,4n,5b37b3b2f2f1f1f3s3f+3m2o3d@,1,matched,4-2,15-30
t3_point_17,,48,1,5f28f1f1f3f3b3b3b2f2f1f1f1f3s3f1f1f2f1f2f2f3f3s3b1f2j+1l3o3n@,,2,matched,4-2,30-40
t3_point_18,dup of 17,48,1,5f28f1f1f3f3b3b3b2f2f1f1f1f3s3f1f1f2f1f2f2f3f3s3b1f2j+1l3o3n@,,2,matched,4-2,30-40
t3_point_19,,49,2,4f18f1f1f1f+3s2v1*,,1,matched,4-3,0-0
t3_point_20,,51,2,c6n,4f18f1f1f3f3s3f-3*,1,matched,4-3,15-15
t3_point_21,server mark not visible,53,2,6b18f1f1f3b2f3b3b3b3b2u3*,,1,matched,4-3,30-30
t3_point_22,no bug: net close-up false positive,,,,,,NO MATCH,,
t3_point_23,,62,1,6x,5b37s3b3b3b3f3b3f3b3s2f3s3b3b2f2f1f1w@,1,matched,4-4,30-40
t3_point_24,,63,1,4n,4f28b+3b2z2*,1,matched,4-4,40-40
t3_point_25,,64,1,5b38f+1f1j3m3o1*,,1,matched,4-4,AD-40
t3_point_26,dup of 25,64,1,5b38f+1f1j3m3o1*,,1,matched,4-4,AD-40
t3_point_27,,66,2,4b37y+2r3m3l3v3s3z1n#,,1,matched,5-4,0-15
