clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
t7_point_01,bug Djokovic-top; transcribed player-1-first (bug hides pts col at 0-0),2,1,4b2n#,,1,matched,0-0,15-0
t7_point_02,,3,1,4*,,1,matched,0-0,30-0
t7_point_03,,4,1,6n,6f2n@,1,matched,0-0,40-0
t7_point_04,,5,2,4f2n#,,2,matched,1-0,0-0
t7_point_05,,6,2,4w,5b38b3b1f2f+3n@,2,matched,1-0,15-0
t7_point_06,,7,2,6b1n#,,2,matched,1-0,30-0
t7_point_07,,8,2,4*,,2,matched,1-0,40-0
t7_point_08,,9,1,4+f28z3s1v1*,,1,matched,1-1,0-0
t7_point_09,,10,1,4s27f2*,,1,matched,1-1,15-0
t7_point_10,,13,2,4*,,2,matched,2-1,0-0
t7_point_11,,15,2,6*,,2,matched,2-1,30-0
t7_point_12,,16,2,6f29f3b2f1f1f2f2f1f3b2f1f2f+3s1w#,,1,matched,2-1,40-0
t7_point_13,,17,2,5b29f2b3b2b1f1f3*,,1,matched,2-1,40-15
t7_point_14,,18,2,6n,4b38b3b1w@,2,matched,2-1,40-30
t7_point_15,,19,1,6b28y1n@,,2,matched,2-2,0-0
t7_point_16,,20,1,4d,4+b28z1f3z2*,1,matched,2-2,0-15
t7_point_17,,21,1,6*,,1,matched,2-2,15-15
t7_point_18,,22,1,4s3d#,,1,matched,2-2,30-15
t7_point_19,,23,1,4*,,1,matched,2-2,40-15
t7_point_20,,24,2,5s;37b3d@,,1,matched,3-2,0-0
t7_point_21,,25,2,c6f27f2f1f2b2b2b2f2b3b3s2f3s#,,2,matched,3-2,0-15
t7_point_22,,26,2,4w,c5b18f3s2n#,2,matched,3-2,15-15
t7_point_23,,27,2,6x,6f38s2d#,1,matched,3-2,30-15
t7_point_24,,28,2,4f2n#,,2,matched,3-2,30-30
t7_point_25,,29,2,6d,4b28f1f2b2s3f1f3b3b2b2f1f1w@,1,matched,3-2,40-30
t7_point_26,deuce cycle A; order-resolved,30,2,4n,5b27b3s3b2f2f3b1f2f3b3b3b1f1f2b3b3s3f3b3b2f1r3s3s1n#,1,matched,3-2,40-40
t7_point_27,deuce cycle B; order-resolved,32,2,4r2d#,,2,matched,3-2,40-40
t7_point_28,Sinner AD,33,2,4d,5b38b2f3b3s1f2b2b2s2u3b3b2*,2,matched,3-2,AD-40
t7_point_29,,35,1,6f38b2f1r1f3b3b2b1f2b3w@,,2,matched,3-3,15-0
t7_point_30,,42,2,6s28f3*,,2,matched,4-3,0-0
t7_point_31,,43,2,6r28f1f1d#,,2,matched,4-3,15-0
t7_point_32,,44,2,6n,5b18f3b2f3w@,1,matched,4-3,30-0
t7_point_33,,45,2,4*,,2,matched,4-3,30-15
t7_point_34,,46,2,6n,4f1w@,2,matched,4-3,40-15
t7_point_35,,47,1,6s28j3b1n#,,1,matched,4-4,0-0
t7_point_36,,48,1,6*,,1,matched,4-4,15-0
t7_point_37,,49,1,4n,4f18f3b3b1b1w@,1,matched,4-4,30-0
t7_point_38,,50,1,6f1n#,,1,matched,4-4,40-0
t7_point_39,,55,2,4w,6b37b2b2f1f2d@,2,matched,5-4,30-30
t7_point_40,BREAK POINT,56,2,6r#,,2,matched,5-4,40-30
t7_point_41,,57,1,4n,6b28f3b2n#,1,matched,5-5,0-0
t7_point_42,,59,1,6*,,1,matched,5-5,30-0
t7_point_43,,60,1,4b29*,,2,matched,5-5,40-0
t7_point_44,,61,1,6b37b+2f2v2f3*,,2,matched,5-5,40-15
t7_point_45,,62,1,6x,6f18f3b2f3b3b3f3s1j1*,2,matched,5-5,40-30
t7_point_46,,63,1,4n,4n,2,matched,5-5,40-40
t7_point_47,Sinner AD -> break for 5-6,64,1,6f39b3b3b#,,2,matched,5-5,40-AD
t7_point_48,,65,2,5d,5b28f2b1f2f3b2f2b1f2f3b3n@,2,matched,5-6,0-0
t7_point_49,,66,2,4b29f1f2f+3s2v3m2d#,,2,matched,5-6,15-0
t7_point_50,,67,2,6d,4f3n#,2,matched,5-6,30-0
t7_point_51,SET POINTS (Sinner serves out 7-5),68,2,4w,4b38b2f3b2f3n#,2,matched,5-6,40-0
t7_point_52,adjudicated: first-serve fault 4w (MCP Pt69); second-serve point in 53,,,,,,NO MATCH,,
t7_point_53,0-0 fragment pair with 52,69,1,4w,6b28b1f2f2f2f2f3b1f1f2f3*,2,matched,0-0,0-0
t7_point_54,,70,1,6*,,1,matched,0-0,0-15
t7_point_55,,71,1,4n,4f27f+3b3z1l2o3*,1,matched,0-0,15-15
t7_point_56,,72,1,4n,4+b18v^1*,1,matched,0-0,30-15
t7_point_57,,73,1,6n,4f1w@,1,matched,0-0,40-15
t7_point_58,,74,2,6*,,2,matched,1-0,0-0
t7_point_59,,76,2,6s28f3b1d#,,2,matched,1-0,15-15
t7_point_60,,77,2,6f28f3w@,,1,matched,1-0,30-15
t7_point_61,"adjudicated: walk-up/let fragment (near misdetect); point in 62 (parity far, MCP Pt80 1st in)",,,,,,NO MATCH,,
t7_point_62,0-0 fragment pair with 61,80,1,4f28f3b2b2b1*,,2,matched,1-1,0-0
t7_point_63,,82,1,6b29f1f2b2b2d@,,1,matched,1-1,15-15
t7_point_64,,84,1,6*,,1,matched,1-1,40-15
