clip,note,mcp_pt,svr,first,second,winner,status,gms,pts
t6_point_01,bug Pegula-top; transcribed player-1-first (Sabalenka),2,1,4s28f2d@,,2,matched,0-0,0-15
t6_point_02,,3,1,4f1n#,,1,matched,0-0,0-30
t6_point_03,,4,1,6*,,1,matched,0-0,15-30
t6_point_04,,5,1,4r3w#,,1,matched,0-0,30-30
t6_point_05,,6,1,6f#,,1,matched,0-0,40-30
t6_point_06,,8,2,c5b28s3s3n@,,2,matched,1-0,0-15
t6_point_07,,9,2,6*,,2,matched,1-0,15-15
t6_point_08,,10,2,5b2d#,,2,matched,1-0,30-15
t6_point_09,,11,2,5s3d#,,2,matched,1-0,40-15
t6_point_10,,12,1,4*,,1,matched,1-1,0-0
t6_point_11,,13,1,4s27r-3b-3z#,,2,matched,1-1,15-0
t6_point_12,,14,1,4n,4f18f1f2b2s3b3b3b3b3b3n@,2,matched,1-1,15-15
t6_point_13,,16,1,6w,4f29b2n#,2,matched,1-1,15-40
t6_point_14,,17,2,5b29f3s2u3n@,,1,matched,1-2,0-0
t6_point_15,,18,2,5b37b3b3b2f1f3n#,,1,matched,1-2,0-15
t6_point_16,,19,2,4*,,2,matched,1-2,0-30
t6_point_17,,20,2,5b28f3b3n@,,2,matched,1-2,15-30
t6_point_18,,21,2,5b29b2b1f1r3d#,,2,matched,1-2,30-30
t6_point_19,,22,2,6f18f1f1*,,1,matched,1-2,40-30
t6_point_20,,23,2,4f19f2b3b3s2f3d@,,1,matched,1-2,40-40
t6_point_21,Sabalenka AD (bug shows AD on Sabalenka row),24,2,5d,5b29b2d#,1,matched,1-2,40-AD
t6_point_22,adjudicated: walk-up/let fragment (bug animating in); real point in 23 (MCP Pt25 1st in),,,,,,NO MATCH,,
t6_point_23,0-0 fragment pair with 22,25,1,4f28b3b3b+1f2o3*,,1,matched,2-2,0-0
t6_point_24,,26,1,4w,4b39b1d#,2,matched,2-2,15-0
t6_point_25,,27,1,5s28f1*,,1,matched,2-2,15-15
t6_point_26,,29,1,5b27f+3b2o1*,,1,matched,2-2,30-30
t6_point_27,,30,1,5b29f2b3b2f3w@,,1,matched,2-2,40-30
t6_point_28,,31,2,5d,5b28b2f+3s1v1*,1,matched,3-2,0-0
t6_point_29,,32,2,6*,,2,matched,3-2,0-15
t6_point_30,,33,2,4f19f3n#,,1,matched,3-2,15-15
t6_point_31,,34,2,5b27b2s2f1f1f2f+3s2f-1*,,1,matched,3-2,15-30
t6_point_32,,35,2,4d,5b28b2b2b;2b2f1d@,1,matched,3-2,15-40
t6_point_33,,36,1,4d,5f19f3b3s2r3b1r2y+1f2v3*,1,matched,4-2,0-0
t6_point_34,,38,1,6s2d#,,1,matched,4-2,15-15
